text,label,source
"The paper introduces a new tool called Odoviz for visualization and processing of 3D odometry data. Odoviz offers an easy-to use interface that helps researchers and developers better understand performance results from different algorithms. It offers diverse visualizations and analysis capabilities such as comparing multiple odometry runs, viewing point clouds, and computing various performance metrics. Authors test the tool using different datasets and show its usefulness in research and development of odometry.",1,AI
"This paper introduces a new method for anticipating actions when viewed from one's own perspective. We call this ""anticipation of egocentric actions,"" and it means to predict future actions by looking at previous actions from an individual's point of view. This is difficult because human actions are very dynamic and hard to predict. In this work we combine computer vision and machine learning to process video streams in real time. The goal is to anticipate actions as they happen. Results on various test sets show that this approach performs well and has potential uses including HCI (human computer interaction), robotics, and sports analysis.",1,AI
"This paper introduces Frauddroid which is a new system for automatic detection of fraudulent ads in Android apps. Using machine learning methods, this system analyzes app behavior in real time and identifies anomalous activities that point to fraud. Frauddroid is designed to be very effective and efficient; it reduces time and resource costs for manual detection of fraud. Results from our testing show that Frauddroid performs well at detecting fraud with low false positives. With this system we have the potential to greatly enhance Android security and safeguard advertisers from financial loss due to fraud.",1,AI
This paper explores using Bayesian optimization to optimize both the structure and parameters of function networks. Function networks are mathematical constructs used to model complicated relationships among input and output values. Optimization of such networks is very difficult because one must find an optimal combination of structure and parameters that reduces error between predicted values by the network and actual data. Bayesian optimization is a framework for global optimization which has worked well in many areas including machine learning. Authors report here on an approach using Bayesian optimization for optimizing function networks and test performance on different benchmarks. Results indicate that this new approach excels compared to other optimization methods and provides strong solutions for tuning networks.,1,AI
"This study introduces an innovative approach to synthesizing information from many different sources so that better and stronger decisions can be made. Proposed approach integrates variability and uncertainty of each source using a mathematical system for systematic combination of evidence. Results of rigorous simulations indicate this new method performs better than previous methods especially regarding accuracy and strength; this method excels particularly well when dealing with many sources. This new method is applicable across diverse fields including medical diagnoses, recommendation systems, and fusion of sensor data.",1,AI
"Music boundary detection is a task in music information retrieval which locates the beginning and ending times of separate songs in a playlist or recording. We use CNNs here to detect boundaries between songs and we also compare performance on different sets of combined features. Features used here are Mel Spectrogram, Chroma and Tonnetz representations. We study how well CNNs perform when they are trained separately with each feature and when they are trained using combinations of these features. Results show that using a combination of all three features improves performance better than using just one. Insights have been gained about the importance of considering different features when using CNNs for this task and there is potential for future improvements through further investigation into new feature combinations.",1,AI
"Multi-view detection incorporates multiple camera views to alleviate occlusion in crowded scenes, where the state-of-the-art approaches adopt homography transformations to project multi-view features to the ground plane. However, we find that these 2D transformations do not take into account the object's height, and with this neglection features along the vertical direction of same object are likely not projected onto the same ground plane point, leading to impure ground-plane features. To solve this problem, we propose VFA, voxelized 3D feature aggregation, for feature transformation and aggregation in multi-view detection. Specifically, we voxelize the 3D space, project the voxels onto each camera view, and associate 2D features with these projected voxels. This allows us to identify and then aggregate 2D features along the same vertical line, alleviating projection distortions to a large extent. Additionally, because different kinds of objects (human vs. cattle) have different shapes on the ground plane, we introduce the oriented Gaussian encoding to match such shapes, leading to increased accuracy and efficiency. We perform experiments on multiview 2D detection and multiview 3D detection problems. Results on four datasets (including a newly introduced MultiviewC dataset) show that our system is very competitive compared with the state-of-the-art approaches. %Our code and data will be open-sourced.Code and MultiviewC are released at https://github.com/Robert-Mar/VFA.",0,Human
This research looks at the role of randomness in robust perception by studying the geometry of neuronal populations. Authors use modeling and simulations to investigate how variability in the activity of these populations affects stability and robustness of perceptual representations. Results show randomness is important for shaping population geometry resulting in greater robustness and resistance to perturbations. Insights are offered regarding mechanisms of perception and a new framework is provided for future work on randomness and coding by neurons.,1,AI
This paper looks at the idea that data is very effective in deep learning and asks whether this really comes down to having lots of good data or whether other components like network structure and optimization techniques are also key. It reviews existing literature about this idea tracing its history and showing how it has developed over time. Evidence from recent research that data quality and relevance is more important than just volume is presented. The authors discuss what this means for deep learning saying we need a better grasp on the role of data for building more efficient models. Conclusions point towards future work needing stronger evaluation of data contributions and looking into alternative ways to learn that don't rely so much on large data sets.,1,AI
"This paper introduces a new scalable decoder microarchitecture for fault tolerance in quantum computing. Proposed microarchitecture aims to solve current system issues including large scale correction of errors, high computational burden and lack of scalability. Based on an innovative method of quantum error correction this architecture uses multiple parallel decoders to improve efficiency and scalability. Also included are mechanisms for fault tolerance which minimize hardware error effects and ensure stability and reliability of computations. Results from simulation and experiment show marked improvements in scalability and fault tolerance alongside reduced computational load over existing approaches. Proposed design is anticipated to be key to enabling large systems of quantum computing and furthering development of quantum technology.",1,AI
"Age-Related Macular Degeneration (AMD) is an asymptomatic retinal disease which may result in loss of vision. There is limited access to high-quality relevant retinal images and poor understanding of the features defining sub-classes of this disease. Motivated by recent advances in machine learning we specifically explore the potential of generative modeling, using Generative Adversarial Networks (GANs) and style transferring, to facilitate clinical diagnosis and disease understanding by feature extraction. We design an analytic pipeline which first generates synthetic retinal images from clinical images; a subsequent verification step is applied. In the synthesizing step we merge GANs (DCGANs and WGANs architectures) and style transferring for the image generation, whereas the verified step controls the accuracy of the generated images. We find that the generated images contain sufficient pathological details to facilitate ophthalmologists' task of disease classification and in discovery of disease relevant features. In particular, our system predicts the drusen and geographic atrophy sub-classes of AMD. Furthermore, the performance using CFP images for GANs outperforms the classification based on using only the original clinical dataset. Our results are evaluated using existing classifier of retinal diseases and class activated maps, supporting the predictive power of the synthetic images and their utility for feature extraction. Our code examples are available online.",0,Human
This work introduces a new way of learning robot manipulation skills by combining task progress based Gaussian rewards with exploration that has been adjusted based on losses from prior interactions. The proposed approach uses a measurement of task progress as a continuous reward signal for the reinforcement learning agent which motivates focusing on task goals. Exploration strategy also adapts based on losses experienced previously. Results are shown through simulations and experimentation on various manipulation tasks; the proposed method excels at both success rate and convergence speed compared to leading approaches. Benefits of using progress measurements and adjusting exploration based on loss are clear.,1,AI
"This paper investigates performance of language tools for fifteen under resourced official languages of the European Union (EU). It looks into effectiveness of these tools for tagging parts of speech, recognizing named entities, parsing dependencies and performing machine translation. The authors use a variety of evaluation metrics to compare performance of tools across different tasks and languages. Results show diverse effectiveness levels among different languages and tasks. Areas for future development are also identified. Findings from this research are useful to policymakers and researchers in language technology who work towards supporting languages that have little resources. Contribution of this work is significant as it advances knowledge about tool development and evaluation for languages with limited resources within EU and helps preserve linguistic diversity and promote multilingualism.",1,AI
"Despite the tremendous success of BitTorrent, its swarming system suffers from a fundamental limitation: lower or no availability of unpopular contents. Recently, Menasche et al. has shown that bundling is a promising solution to mitigate this availability problem; it improves the availability and reduces download times for unpopular contents by combining multiple files into a single swarm. There also have been studies on bundling strategies and performance issues in bundled swarms. In spite of the recent surge of interest in the benefits of and strategies for bundling, there are still little empirical grounding for understanding, describing, and modeling it. This is the first empirical study that measures and analyzes how prevalent contents bundling is in BitTorrent and how peers access the bundled contents, in comparison to the other non-bundled (i.e., single-filed) ones. To our surprise, we found that around 70% of BitTorrent swarms contain multiple files, which indicate that bundling has become widespread for contents sharing. We also show that the amount of bytes shared in bundled swarms is estimated to be around 85% out of all the BitTorrent contents logged in our datasets. Inspired from our findings, we raise and discuss three important research questions in the field of file sharing systems as well as future contents-oriented networking: i) bundling strategies, ii) bundling-aware sharing systems in BitTorrent, and iii) implications on content-oriented networking.",0,Human
"This work investigates asymptotically and numerically a model of volume transmission using stochastic partial differential equations (SPDEs). The SPDE model characterizes the diffusion of signaling molecules in a three dimensional extracellular space that is subject to random fluctuations. The asymptotic analysis examines long time behavior of the SPDE model and rigorously proves convergence of solution to deterministic PDE in mean field limit. Numerical analysis uses Monte Carlo methods to simulate the SPDE model and compares resulting solutions against deterministic limits. Results show high accuracy and efficiency of numerical scheme and emphasize significance of stochastic effects on dynamics of volume transmission. This research highlights intricate coupling of diffusion, randomness and nonlinearity in biological systems and lays groundwork for further investigation into volume transmission under different circumstances.",1,AI
"This paper introduces a network for analyzing behavior during public speaking which uses multiple channels of information such as audio, text and visual data. The new model combines different attention mechanisms to effectively evaluate contributions from each channel and identify important features. Performance of this model is tested using a set of speeches and compared against leading methods. Results show the proposed multichannel attention model performs better than others and indicates promise for practical use cases in studying speech and recognizing emotion.",1,AI
"Millions of drivers worldwide have enjoyed financial benefits and work schedule flexibility through a ride-sharing economy, but meanwhile they have suffered from the lack of a sense of identity and career achievement. Equipped with social identity and contest theories, financially incentivized team competitions have been an effective instrument to increase drivers' productivity, job satisfaction, and retention, and to improve revenue over cost for ride-sharing platforms. While these competitions are overall effective, the decisive factors behind the treatment effects and how they affect the outcomes of individual drivers have been largely mysterious. In this study, we analyze data collected from more than 500 large-scale team competitions organized by a leading ride-sharing platform, building machine learning models to predict individual treatment effects. Through a careful investigation of features and predictors, we are able to reduce out-sample prediction error by more than 24%. Through interpreting the best-performing models, we discover many novel and actionable insights regarding how to optimize the design and the execution of team competitions on ride-sharing platforms. A simulated analysis demonstrates that by simply changing a few contest design options, the average treatment effect of a real competition is expected to increase by as much as 26%. Our procedure and findings shed light on how to analyze and optimize large-scale online field experiments in general.",0,Human
"This paper looks into predictive state temporal difference (PSTD) learning which is a promising method for reinforcement learning that excels at learning in environments where things are not fully observable. Building on traditional Temporal Difference (TD) learning, PSTD uses predictive states to represent relevant information from previous observations. The paper gives an extensive review of theoretical basis for PSTD learning: mathematical formulation, convergence characteristics and connection to other reinforcement learning approaches. Authors introduce a new algorithm which integrates adaptive sampling strategies to improve learning efficiency. Results of experiments on benchmarks such as Cart Pole and navigation tasks show that PSTD outperforms standard TD learning in partially observable settings and converges faster. Overall this work advances reinforcement learning research by presenting an effective new approach for learning in such environments; this algorithm can have broad applicability to diverse practical issues including robotics, autonomous driving and gaming.",1,AI
"This paper introduces a new approach to synthesize frontal view faces that are captured from different angles and under various lighting conditions. Most current approaches use domain specific knowledge and need lots of labeled data. We use unsupervised learning and learn features directly that work well for synthesis regardless of specific task knowledge or labeled data. Results show performance at leading edge on benchmark datasets and generalizes to real world captured images as well. An evaluation also shows effectiveness of components of this proposed method and insights into their importance. In sum, we propose an exciting advance for synthesis of faces with mixed attributes and hope that this will be useful in biometrics, security and entertainment industries.",1,AI
"This paper summarizes proceedings of a combined conference which is the 25th International Workshop on Expressiveness in Concurrency and the 15th Workshop on Structural Operational Semantics. Experts in theoretical computer science gathered for this conference to share recent results and discuss new advances in concurrency and operational semantics. The main goal of this conference was to serve as an exchange ground for researchers where they could share ideas, report on recent research results and engage in productive discussions leading to future directions. Papers also point out some promising research areas that have emerged from the conference and give advice for future work in this domain. Key themes and issues considered include expressiveness of concurrency models and development of new techniques for operational semantics and their use in practical systems.",1,AI
"Current performance-driven building design methods are not widely adopted outside the research field for several reasons that make them difficult to integrate into a typical design process. In the early design phase, in particular, the time-intensity and the cognitive load associated with optimization and form parametrization are incompatible with design exploration, which requires quick iteration. This research introduces a novel method for performance-driven geometry generation that can afford interaction directly in the 3d modeling environment, eliminating the need for explicit parametrization, and is multiple orders faster than the equivalent form optimization. The method uses Machine Learning techniques to train a generative model offline. The generative model learns a distribution of optimal performing geometries and their simulation contexts based on a dataset that addresses the performance(s) of interest. By navigating the generative model's latent space, geometries with the desired characteristics can be quickly generated. A case study is presented, demonstrating the generation of a synthetic dataset and the use of a Variational Autoencoder (VAE) as a generative model for geometries with optimal solar gain. The results show that the VAE-generated geometries perform on average at least as well as the optimized ones, suggesting that the introduced method shows a feasible path towards more intuitive and interactive early-phase performance-driven design assistance.",0,Human
"This paper reports on proceedings of the Workshop on Social Robots in Therapy which explored the challenges and ethical issues of using social robots in therapeutic contexts. Experts from different disciplines such as robotics, psychology and ethics gathered to discuss pros and cons of employing social robots in therapy. Important subjects discussed were development of clear ethical standards for robot use in therapy, design of robots that enhance user autonomy and effects of social robots on therapist relationship. Closing remarks called for ongoing cooperation among disciplines and research to guarantee safety and efficacy of robots used therapeutically.",1,AI
"This paper introduces a method of learning contrastive representations specifically for retinal fundus images that use a mix of weak and strong supervision. Using image level labels as weak supervision and few manually labeled examples as strong supervision, this method aligns the representation space using contrastive loss function and evaluates learned representations on a task of classifying retinal diseases. Results show the proposed approach performs better than supervised learning and weak supervision methods in terms of classification accuracy and thus shows effectiveness of semi weak supervision contrastive representation learning for these images.",1,AI
"Stable view synthesis is an important issue in vision and graphics. It aims at generating new views from a collection of input images and results in high quality and stable output that faithfully represents the geometry and appearance of a scene. This paper reviews current leading practices in stable view synthesis; both classical and recent ones. Authors look at the pros and cons of different methods and judge their performance using various datasets and metrics. Also, they talk about challenges and future research directions such as integrating deep learning, dealing with complicated and dynamic scenes and developing interactive and real time systems. In summary, this paper is significant for researchers and implementers in vision and graphics and emphasizes the significance of stable view synthesis for diverse tasks.",1,AI
"Volume transmission is an important neural communication pathway in which neurons in one brain region influence the neurotransmitter concentration in the extracellular space of a distant brain region. In this paper, we apply asymptotic analysis to a stochastic partial differential equation model of volume transmission to calculate the neurotransmitter concentration in the extracellular space. Our model involves the diffusion equation in a three-dimensional domain with interior holes that randomly switch between being either sources or sinks. These holes model nerve varicosities that alternate between releasing and absorbing neurotransmitter, according to when they fire action potentials. In the case that the holes are small, we compute analytically the first two nonzero terms in an asymptotic expansion of the average neurotransmitter concentration. The first term shows that the concentration is spatially constant to leading order and that this constant is independent of many details in the problem. Specifically, this constant first term is independent of the number and location of nerve varicosities, neural firing correlations, and the size and geometry of the extracellular space. The second term shows how these factors affect the concentration at second order. Interestingly, the second term is also spatially constant under some mild assumptions. We verify our asymptotic results by high-order numerical simulation using radial basis function-generated finite differences.",0,Human
"This paper introduces a new way to speed up neural architecture search (NAS). Currently this process is very slow because we have to try lots of different networks and test how well they work. Our method uses machine learning to predict performance of different networks before we actually train them. This cuts down the amount of computation needed for NAS. First we train a model that predicts performance based on certain networks and performance measures. Then we use this model to predict performance of other networks. This avoids testing poor performing networks and reduces the total number of networks we need to test. We test this method on different datasets and show that it works faster than previous methods and performs similarly well. We also do some sensitivity analysis to study how different parameters affect performance. Results show that our method is reliable and robust. Overall we contribute to NAS by offering an improved way to find good neural network designs. Applications include vision, language processing and speech recognition where NAS is commonly used to design networks.",1,AI
"This paper introduces a new approach to recognize and retrieve actions in videos through learning of temporal contrastive graphs. Graphs are built by representing video clips as nodes and connecting those which have similar features via edges. For feature learning purposes, a contrastive loss is used to bring together clips that contain the same action and separate those containing different actions. Results on benchmark datasets show that this new approach significantly outperforms leading methods for both recognition and retrieval tasks. It also works well under occlusion and noise. The paper asserts that learning temporal contrastive graphs points toward promising directions for future research into action recognition and retrieval in videos.",1,AI
This paper introduces a way to realize learned behaviors for quadruped locomotion using kinematic primitives. Authors present a framework that integrates learning methods with kinematic primitives to produce smooth and adaptive motions for robots. Framework consists of two major parts: learning module trains neural networks on real locomotion data of quadrupeds and control module generates motion command based on learned models using kinematic primitives. Authors test their method on actual robot and show that it produces behavior which closely resembles what is seen in real animals. Results indicate this framework shows promise for use in practical applications for realized learned locomotion.,1,AI
"Single-frame infrared small target (SIRST) detection aims at separating small targets from clutter backgrounds. With the advances of deep learning, CNN-based methods have yielded promising results in generic object detection due to their powerful modeling capability. However, existing CNN-based methods cannot be directly applied for infrared small targets since pooling layers in their networks could lead to the loss of targets in deep layers. To handle this problem, we propose a dense nested attention network (DNANet) in this paper. Specifically, we design a dense nested interactive module (DNIM) to achieve progressive interaction among high-level and low-level features. With the repeated interaction in DNIM, infrared small targets in deep layers can be maintained. Based on DNIM, we further propose a cascaded channel and spatial attention module (CSAM) to adaptively enhance multi-level features. With our DNANet, contextual information of small targets can be well incorporated and fully exploited by repeated fusion and enhancement. Moreover, we develop an infrared small target dataset (namely, NUDT-SIRST) and propose a set of evaluation metrics to conduct comprehensive performance evaluation. Experiments on both public and our self-developed datasets demonstrate the effectiveness of our method. Compared to other state-of-the-art methods, our method achieves better performance in terms of probability of detection (Pd), false-alarm rate (Fa), and intersection of union (IoU).",0,Human
"Chatter identification and detection in machining processes has been an active area of research in the past two decades. Part of the challenge in studying chatter is that machining equations that describe its occurrence are often nonlinear delay differential equations. The majority of the available tools for chatter identification rely on defining a metric that captures the characteristics of chatter, and a threshold that signals its occurrence. The difficulty in choosing these parameters can be somewhat alleviated by utilizing machine learning techniques. However, even with a successful classification algorithm, the transferability of typical machine learning methods from one data set to another remains very limited. In this paper we combine supervised machine learning with Topological Data Analysis (TDA) to obtain a descriptor of the process which can detect chatter. The features we use are derived from the persistence diagram of an attractor reconstructed from the time series via Takens embedding. We test the approach using deterministic and stochastic turning models, where the stochasticity is introduced via the cutting coefficient term. Our results show a 97% successful classification rate on the deterministic model labeled by the stability diagram obtained using the spectral element method. The features gleaned from the deterministic model are then utilized for characterization of chatter in a stochastic turning model where there are very limited analysis methods.",0,Human
"This paper introduces a new way to scale up heuristic planning through integration of relational decision trees (RDTs). Heuristic planning has been successful for many practical tasks but can falter if the problem is very complicated or the search space is large. Learning RDTs might help scale this planning better because they can perform searches more efficiently and effectively. Using RDTs means modeling relationships among different states in the search space and guiding search. They are learned from a set of examples through a learning algorithm and learn complex relationships that aren't easily seen from simple heuristics. Then they guide search by picking promising branches of the tree based on learned relationships. Evaluation shows that this approach improves scalability and performance in large and complex task domains. Performance exceeds other top methods on most tasks. Overall, the approach suggests exciting progress toward making heuristic planning scalable and effective for practical use.",1,AI
"This paper looks into how improvisation relates to physical understanding and vision, especially when using new objects. It studies whether improvisation is improved by using such objects which help performers better understand their surroundings and plan ahead. Using both qualitative interviews with improvisers and experiments, this study uses mixed methods. Results show that using new objects as tools improves improvisation by enhancing understanding of one's environment and enabling prediction and anticipation of future movement through foresight. The study also emphasizes that training and practice are key to improving physical understanding and foresight and recommends incorporating new objects into training for those who want to improve their skills. Finally, the authors consider broader implications for performance improv and suggest avenues for further research.",1,AI
"Unstructured data from diverse sources, such as social media and aerial imagery, can provide valuable up-to-date information for intelligent situation assessment. Mining these different information sources could bring major benefits to applications such as situation awareness in disaster zones and mapping the spread of diseases. Such applications depend on classifying the situation across a region of interest, which can be depicted as a spatial ""heatmap"". Annotating unstructured data using crowdsourcing or automated classifiers produces individual classifications at sparse locations that typically contain many errors. We propose a novel Bayesian approach that models the relevance, error rates and bias of each information source, enabling us to learn a spatial Gaussian Process classifier by aggregating data from multiple sources with varying reliability and relevance. Our method does not require gold-labelled data and can make predictions at any location in an area of interest given only sparse observations. We show empirically that our approach can handle noisy and biased data sources, and that simultaneously inferring reliability and transferring information between neighbouring reports leads to more accurate predictions. We demonstrate our method on two real-world problems from disaster response, showing how our approach reduces the amount of crowdsourced data required and can be used to generate valuable heatmap visualisations from SMS messages and satellite images.",0,Human
